target,relevance,outcome,metallibs,perf,tracker_id,note
//max/kernels/test/gpu/kv_cache:test_batch_kv_cache_flash_attention_causal_mask_ragged_paged_ps64_hs64.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_fused_qkv_index_matmul.mojo.test,generic,PASS,22,,,
//max/kernels/test/gpu/kv_cache:test_fused_qkv_index_matmul_scale_mxfp8.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_2m_iadd.mojo.test,excluded,EXCLUDED,,,MOCO-3187,FIXME: MOCO-3187
//max/kernels/test/gpu/kv_cache:test_kv_cache_matmul.mojo.test,excluded,EXCLUDED,,,PRDT-506,FIXME: PRDT-506
//max/kernels/test/gpu/kv_cache:test_kv_cache_radd.mojo.test,excluded,EXCLUDED,,,MOCO-3187,FIXME: MOCO-3187
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_bf16_fused_cont.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_bf16_fused_paged.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_bf16_k_paged.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_bf16_kv_cont.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_fp32_fused_cont.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_fp32_fused_paged.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_fp32_k_paged.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_fp32_kv_cont.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_kv_cache_ragged_matmul_scale.mojo.test,excluded,EXCLUDED,,,KERN-2318,FIXME: KERN-2318
//max/kernels/test/gpu/kv_cache:test_kv_cache_store_ragged.mojo.test,excluded,EXCLUDED,,,MOCO-3187,FIXME: MOCO-3187
//max/kernels/test/gpu/kv_cache:test_kv_rowmajor_fold_spike.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_decoding_vs_naive.mojo.test,generic,FAIL,151,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_amd_repro.mojo.test,generic,NO_STATUS,,,,
